Time,bit-x,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others,therocktrading
2013-04-05 00:00:00 UTC,,,,,,,,,136.995032935775,134.5
2013-04-06 00:00:00 UTC,,,,,,,,,142.0312109915333,132.75
2013-04-07 00:00:00 UTC,,,,,,,,,150.83238914677926,147.5
2013-04-08 00:00:00 UTC,,,,,,,,,179.80973514749073,175.25
2013-04-09 00:00:00 UTC,,,,,,,,,206.36656693533115,209.227083333333
2013-04-10 00:00:00 UTC,,,,,,,,,220.49994948948685,233.866666666667
2013-04-11 00:00:00 UTC,,,,,,,,,135.0668383474703,98.4427564102564
2013-04-12 00:00:00 UTC,,,,,,,,,85.75894912181734,100.0
2013-04-13 00:00:00 UTC,,,,,,,,,102.89703042832714,110.0
2013-04-14 00:00:00 UTC,,,,,,,,,99.23194437586103,105.0
2013-04-15 00:00:00 UTC,,,,,,,,,93.09351460112521,94.0475
2013-04-16 00:00:00 UTC,,,,,,,,,66.53228766855294,76.2666666666667
2013-04-17 00:00:00 UTC,,,,,,,,,82.61727662995195,72.5
2013-04-18 00:00:00 UTC,,,,,,,,,93.4388760814091,100.0
2013-04-19 00:00:00 UTC,,,,,,,,,116.6654780204206,130.0
2013-04-20 00:00:00 UTC,,,,,,,,,119.5715190785954,125.0
2013-04-21 00:00:00 UTC,,,,,,,,,121.38017649993222,
2013-04-22 00:00:00 UTC,,,,,,,,,120.84078128990879,125.0
2013-04-23 00:00:00 UTC,,,,,,,,,128.393771509545,130.544444444445
2013-04-24 00:00:00 UTC,,,,,,,,,146.66349539151278,143.333333333333
2013-04-25 00:00:00 UTC,,,,,,,,,149.53701681763738,
2013-04-26 00:00:00 UTC,,,,,,,,,133.33166543908,140.0
2013-04-27 00:00:00 UTC,,,,,,,,,132.456531712227,138.5
2013-04-28 00:00:00 UTC,,,,,,,,,131.3543066864856,138.5
2013-04-29 00:00:00 UTC,,,,,,,,,137.8132645838062,
2013-04-30 00:00:00 UTC,,,,,,,,,140.17778244959578,
2013-05-01 00:00:00 UTC,,,,,,,,,127.5298059150798,137.0
2013-05-02 00:00:00 UTC,,,,,,,,,111.383312519165,
2013-05-03 00:00:00 UTC,,,,,,,,,93.52030871727492,
2013-05-04 00:00:00 UTC,,,,,,,,,104.64085358041139,
2013-05-05 00:00:00 UTC,,,,,,,,,113.86747463722119,
2013-05-06 00:00:00 UTC,,,,,,,,,118.1213071214514,125.0
2013-05-07 00:00:00 UTC,,,,,,,,,107.74788902232281,127.5
2013-05-08 00:00:00 UTC,,,,,,,,,112.1368405214208,105.0
2013-05-09 00:00:00 UTC,,,,,,,,,110.72633425969221,
2013-05-10 00:00:00 UTC,,,,,,,,,114.92180721835419,
2013-05-11 00:00:00 UTC,,,,,,,,,115.18217111451858,
2013-05-12 00:00:00 UTC,,,,,,,,,114.2743115939112,110.0
2013-05-13 00:00:00 UTC,,,,,,,,,115.43638644407402,
2013-05-14 00:00:00 UTC,,,,,,,,,115.8281006956482,
2013-05-15 00:00:00 UTC,,,,,,,,,109.4462765083294,
2013-05-16 00:00:00 UTC,,,,,,,,,110.65086141418419,112.0
2013-05-17 00:00:00 UTC,,,,,,,,,114.7300878242718,115.166666666667
2013-05-18 00:00:00 UTC,,,,,,,,,117.91813428652779,110.0
2013-05-19 00:00:00 UTC,,,,,,,,,117.7600250618218,120.0
2013-05-20 00:00:00 UTC,,,,,,,,,117.3493583894962,
2013-05-21 00:00:00 UTC,,,,,,,,,117.75204043360661,114.0
2013-05-22 00:00:00 UTC,,,,,,,,,118.99664014505379,
2013-05-23 00:00:00 UTC,,,,,,,,,121.4113687619728,121.5
2013-05-24 00:00:00 UTC,,,,,,,,,126.39472476614421,123.75
2013-05-25 00:00:00 UTC,,,,,,,,,129.24262016407582,
2013-05-26 00:00:00 UTC,,,,,,,,,130.3777150072498,
2013-05-27 00:00:00 UTC,,,,,,,,,130.3799156424934,125.5
2013-05-28 00:00:00 UTC,,,,,,,,,126.61877091883161,
2013-05-29 00:00:00 UTC,,,,,,,,,127.9498193328516,
2013-05-30 00:00:00 UTC,,,,,,,,,129.0766243538928,137.0
2013-05-31 00:00:00 UTC,,,,,,,,,127.6087492940596,
2013-06-01 00:00:00 UTC,,,,,,,,,127.845750851558,115.0
2013-06-02 00:00:00 UTC,,,,,,,,,123.588391542046,115.0
2013-06-03 00:00:00 UTC,,,,,,,,,119.57675515453658,
2013-06-04 00:00:00 UTC,,,,,,,,,121.04681897054338,115.0
2013-06-05 00:00:00 UTC,,,,,,,,,120.4702772815014,115.0
2013-06-06 00:00:00 UTC,,,,,,,,,120.41015336606961,
2013-06-07 00:00:00 UTC,,,,,,,,,113.91510855735719,118.5
2013-06-08 00:00:00 UTC,,,,,,,,,109.1808069412896,101.0
2013-06-09 00:00:00 UTC,,,,,,,,,100.03345932792118,100.0
2013-06-10 00:00:00 UTC,,,,,,,,,103.57660062359639,
2013-06-11 00:00:00 UTC,,,,,,,,,106.25863991055601,
2013-06-12 00:00:00 UTC,,,,,,,,,107.71949026726399,
2013-06-13 00:00:00 UTC,,,,,,,,,106.9461871994854,101.0
2013-06-14 00:00:00 UTC,,,,,,,,,100.844897352361,
2013-06-15 00:00:00 UTC,,,,,,,,,99.91525025159426,
2013-06-16 00:00:00 UTC,,,,,,,,,99.80961102099418,109.0
2013-06-17 00:00:00 UTC,,,,,,,,,100.32543845680897,
2013-06-18 00:00:00 UTC,,,,,,,,,104.0228439252646,
2013-06-19 00:00:00 UTC,,,,,,,,,105.73902327430861,
2013-06-20 00:00:00 UTC,,,,,,,,,106.9418783517834,
2013-06-21 00:00:00 UTC,,,,,,,,,104.29918540902761,
2013-06-22 00:00:00 UTC,,,,,,,,,102.847835698584,10.03
2013-06-23 00:00:00 UTC,,,,,,,,,102.0270712642814,
2013-06-24 00:00:00 UTC,,,,,,,,,99.97800229952536,11.0
2013-06-25 00:00:00 UTC,,,,,,,,,100.08653521922433,
2013-06-26 00:00:00 UTC,,,,,,,,,99.46935419304504,
2013-06-27 00:00:00 UTC,,,,,,,,,98.7148558117975,
2013-06-28 00:00:00 UTC,,,,,,,,,93.28158473619571,
2013-06-29 00:00:00 UTC,,,,,,,,,91.192087359861,
2013-06-30 00:00:00 UTC,,,,,,,,,90.95051483476406,
2013-07-01 00:00:00 UTC,,,,,,,,,89.21286469212878,
2013-07-02 00:00:00 UTC,,,,,,,,,86.11556509621055,
2013-07-03 00:00:00 UTC,,,,,,,,,84.56540218569387,83.25
2013-07-04 00:00:00 UTC,,,,,,,,,77.87988141190274,82.9433333333333
2013-07-05 00:00:00 UTC,,,,,,,,,72.94463434782938,
2013-07-06 00:00:00 UTC,,,,,,,,,67.1043419311061,
2013-07-07 00:00:00 UTC,,,,,,,,,67.33993583485586,
2013-07-08 00:00:00 UTC,,,,,,,,,74.72794851383267,
2013-07-09 00:00:00 UTC,,,,,,,,,73.8824407803154,
2013-07-10 00:00:00 UTC,,,,,,,,,77.06124827579248,
2013-07-11 00:00:00 UTC,,,,,,,,,85.20216230156734,
2013-07-12 00:00:00 UTC,,,,,,,,,92.49308325371392,
2013-07-13 00:00:00 UTC,,,,,,,,,89.47096485810255,
2013-07-14 00:00:00 UTC,,,,,,,,,91.88662329742769,
2013-07-15 00:00:00 UTC,,,,,,,,,92.74326447471803,
2013-07-16 00:00:00 UTC,,,,,,,,,93.19676869083457,
2013-07-17 00:00:00 UTC,,,,,,,,,92.53405782700831,26.6766666666667
2013-07-18 00:00:00 UTC,,,,,,,,,86.61676453416315,
2013-07-19 00:00:00 UTC,,,,,,,,,86.06333514297901,
2013-07-20 00:00:00 UTC,,,,,,,,,87.4085295568949,99.99
2013-07-21 00:00:00 UTC,,,,,,,,,86.32758902107928,
2013-07-22 00:00:00 UTC,,,,,,,,,87.13882264958936,
2013-07-23 00:00:00 UTC,,,,,,,,,88.25077815541889,
2013-07-24 00:00:00 UTC,,,,,,,,,88.9501450458952,
2013-07-25 00:00:00 UTC,,,,,,,,,89.88955874612618,
2013-07-26 00:00:00 UTC,,,,,,,,,91.06599269794167,
2013-07-27 00:00:00 UTC,,,,,,,,,90.14754001112702,
2013-07-28 00:00:00 UTC,,,,,,,,,90.83885846288725,
2013-07-29 00:00:00 UTC,,,,,,,,,93.67286977835973,
2013-07-30 00:00:00 UTC,,,,,,,,,95.09389038682495,
2013-07-31 00:00:00 UTC,,,,,,,,,99.9165171036748,
2013-08-01 00:00:00 UTC,,,,,,,,,98.80060039724238,
2013-08-02 00:00:00 UTC,,,,,,,,,98.36093578586285,
2013-08-03 00:00:00 UTC,,,,,,,,,97.71672464097787,
2013-08-04 00:00:00 UTC,,,,,,,,,97.62805713958804,99.0
2013-08-05 00:00:00 UTC,,,,,,,,,98.85077972939331,
2013-08-06 00:00:00 UTC,,,,,,,,,99.1548618808615,
2013-08-07 00:00:00 UTC,,,,,,,,,99.09957074478741,
2013-08-08 00:00:00 UTC,,,,,,,,,97.27194929137426,
2013-08-09 00:00:00 UTC,,,,,,,,,95.86868015215099,
2013-08-10 00:00:00 UTC,,,,,,,,,95.35387020075875,
2013-08-11 00:00:00 UTC,,,,,,,,,95.84447027128638,
2013-08-12 00:00:00 UTC,,,,,,,,,96.32352635366279,
2013-08-13 00:00:00 UTC,,,,,,,,,97.74772620545176,99.2475
2013-08-14 00:00:00 UTC,,,,,,,,,101.29634299369089,115.0
2013-08-15 00:00:00 UTC,,,,,,,,,100.77031215298423,
2013-08-16 00:00:00 UTC,,,,,,,,,99.99004901546887,
2013-08-17 00:00:00 UTC,,,,,,,,,100.48955426525042,
2013-08-18 00:00:00 UTC,,,,,,,,,101.49635045671195,
2013-08-19 00:00:00 UTC,,,,,,,,,104.25452084976435,
2013-08-20 00:00:00 UTC,,,,,,,,,105.19919784807833,
2013-08-21 00:00:00 UTC,,,,,,,,,108.39750390699483,
2013-08-22 00:00:00 UTC,,,,,,,,,112.0297115810385,
2013-08-23 00:00:00 UTC,,,,,,,,,109.8662279868172,
2013-08-24 00:00:00 UTC,,,,,,,,,108.968608660202,113.833333333333
2013-08-25 00:00:00 UTC,,,,,,,110.31,,111.22775127923349,120.0
2013-08-26 00:00:00 UTC,,,,,,,105.83,,111.73044536452501,121.0
2013-08-27 00:00:00 UTC,,,,,,,,,116.68404674959834,
2013-08-28 00:00:00 UTC,,,,,,,,,118.2072891328445,
2013-08-29 00:00:00 UTC,,,,,,,,,119.91794483929,
2013-08-30 00:00:00 UTC,,,,,,,,,120.9576632770085,117.0
2013-08-31 00:00:00 UTC,,,,,,,,,129.2590590833876,
2013-09-01 00:00:00 UTC,,,,,,,,,131.705795758507,140.0
2013-09-02 00:00:00 UTC,,,,,,,,,131.4114054830665,
2013-09-03 00:00:00 UTC,,,,,,,,,131.1897122511812,
2013-09-04 00:00:00 UTC,,,,,,,,,128.44323707740617,
2013-09-05 00:00:00 UTC,,,,,,,,,122.49646672222282,
2013-09-06 00:00:00 UTC,,,,,,,,,122.1448548386154,140.0
2013-09-07 00:00:00 UTC,,,,,,,,,120.35305170580983,
2013-09-08 00:00:00 UTC,,,,,,,,,120.00182261341179,
2013-09-09 00:00:00 UTC,,,,,,,,,120.10606413985666,107.5
2013-09-10 00:00:00 UTC,,,,,,,,,122.85553096157567,
2013-09-11 00:00:00 UTC,,,,,,,,,124.90283656051119,
2013-09-12 00:00:00 UTC,,,,,,,,,128.859315678377,
2013-09-13 00:00:00 UTC,,,,,,,,,129.59956575791722,
2013-09-14 00:00:00 UTC,,,,,,,,,128.41446288548659,
